Symbol	AK1	AK2	AK3	AK4	AK5	AK6	AK7	AK8	AK9	AK10	AK11	AK12	AK13	AK14	AK15	AK16	AK17	AK18	AK19	AK20
ACAD8	19	5	20	17	13	8	12	30	9	11	14	4	22	8	5	3	6	16	7	4
ACAD9	3	2	4	0	0	2	3	0	1	3	1	2	0	1	3	1	0	0	0	0
ACADL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
ACADM	0	2	10	0	4	4	2	2	0	0	0	0	0	0	3	12	0	0	4	2
ACADS	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0
ACADSB	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	2	0	0	4
ACADVL	74	79	98	77	83	59	62	113	77	93	42	58	92	41	30	51	44	91	48	82
ACAN	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	2	1	0
ACAP1	22	30	50	40	57	13	41	51	36	73	35	39	33	22	45	11	21	27	30	50
ACAP2	3	2	0	6	8	0	0	0	0	0	0	4	4	2	0	1	0	0	4	4
ACAP3	4	0	0	0	0	0	2	0	0	0	0	0	6	0	0	1	0	0	0	0
ACAT1	4	0	0	5	5	8	10	8	7	4	3	8	2	8	6	6	2	6	0	10
ACAT2	393	439	327	322	449	389	529	368	369	446	356	336	262	348	481	258	386	372	395	380
ACBD3	22	20	12	18	27	15	26	8	22	22	22	21	9	26	36	25	7	19	24	23
ACBD4	4	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0
ACBD5	2	2	6	10	0	12	2	2	1	0	5	31	17	19	12	17	0	24	21	31
ACBD6	2	0	0	0	3	0	2	0	0	0	0	1	0	2	2	0	0	2	6	0
ACBD7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
ACCS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	3	8	8	2	10	7	10	9	10	11	3	4	2	10	11	2	2	16	2	5
ACE	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	2	4	0	0	6	0	0	0	4	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	0	0	0	2	1	0	1	0	0	2	0	2	1	0	0	0	0	0	0	0
ACER3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2
ACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1	193	185	162	180	234	226	236	195	225	224	191	201	160	254	193	177	169	157	343	264
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	0	0	0	2	0	0	1	4	0	0	0	2	1	2	0	7	0	6	2	0
ACLY	14	21	34	40	30	14	23	26	14	20	22	16	12	16	34	16	1	13	9	7
ACMSD	7	13	1	19	12	6	3	5	16	10	8	6	3	6	3	9	4	7	34	7
ACN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ACO1	2	8	6	16	8	11	4	4	2	2	15	6	4	1	1	22	10	3	7	13
ACO2	232	156	221	209	327	237	214	243	285	327	159	184	235	221	206	158	106	209	173	227
ACOT1	1	0	0	4	1	0	0	0	4	2	5	0	0	2	2	0	0	0	1	2
ACOT11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	347	247	306	244	348	303	315	335	258	381	422	297	394	360	554	406	292	591	254	435
ACOT2	111	74	83	86	120	69	107	62	121	155	143	154	99	145	191	137	64	83	133	201
ACOT4	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0
ACOT6	1	0	7	1	8	1	4	7	4	1	0	5	2	0	0	1	0	4	0	5
ACOT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ACOT8	78	52	80	41	79	66	74	84	36	95	49	39	79	26	51	57	41	57	42	70
ACOT9	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX1	59	68	25	58	49	55	88	29	58	54	72	73	37	83	43	46	66	33	102	57
ACOX2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOXL	1	0	6	2	6	0	0	2	0	3	0	4	3	6	4	0	0	3	0	0
ACP1	2	3	0	3	0	0	4	1	0	7	4	0	0	2	9	6	0	2	2	0
ACP2	3	2	1	0	2	0	0	1	4	3	0	6	4	4	1	5	0	7	9	4
ACP5	1	6	3	1	4	1	2	1	2	2	2	5	4	1	5	1	4	2	2	3
ACP6	0	0	2	6	1	0	4	0	2	3	0	0	0	0	1	1	0	2	0	0
ACPP	0	6	0	0	0	2	0	1	4	4	0	0	2	2	0	2	0	1	2	0
ACPT	3	0	0	2	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACRBP	0	2	2	0	0	0	4	2	2	2	0	0	0	0	0	0	0	0	0	0
ACRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	2	12	5	1	12	7	3	13	0	7	8	11	6	4	4	1	0	7	2	0
ACSBG2	0	0	1	1	1	2	1	2	0	1	1	0	0	0	1	0	0	0	1	3
ACSF2	0	1	3	4	7	1	3	1	2	4	1	0	1	0	0	0	0	0	0	0
ACSF3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ACSL1	0	0	4	2	17	12	14	15	4	9	9	4	13	6	2	6	19	9	4	15
ACSL3	5	6	0	4	5	8	10	6	6	2	6	5	6	0	5	3	2	2	2	8
ACSL4	4	2	2	1	0	7	2	0	2	2	16	13	5	21	2	9	11	1	10	9
ACSL5	1	6	5	9	2	4	2	3	4	4	13	9	16	4	9	6	5	6	5	10
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACSM1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	57	47	49	46	49	60	54	29	48	46	38	38	28	38	42	46	41	40	58	39
ACSM4	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0
ACSS2	0	3	4	0	2	4	2	0	4	10	7	8	5	8	3	9	6	5	5	5
ACSS3	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	0	4	4	0	0	0	0	1	3	2	4	5	12	6	3	6	0	9
ACTB	39	22	4	45	17	30	25	16	26	18	32	23	21	31	30	25	24	21	20	20
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	51	94	192	42	187	49	149	215	94	322	20	76	100	76	128	42	123	155	151	252
ACTG1	12	17	6	26	24	12	22	22	22	10	25	45	11	10	22	29	14	12	19	20
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	2	1	3	0	0	1	2	0	2	0	1	1	0	0	1	0	1	0
ACTL6A	39	28	38	18	37	38	20	32	29	41	14	24	28	26	19	28	21	34	19	18
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	5	8	12	12	0	2	2	3	0	4	4	10	0	2	8	0	0	2	6	5
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	24	12	14	14	25	28	18	9	18	29	42	8	7	8	12	29	9	14	6	21
ACTR10	0	0	0	2	4	3	4	4	0	2	2	0	6	0	0	4	0	2	3	2
ACTR1A	0	4	4	6	4	4	4	8	4	6	6	6	6	7	2	5	0	1	0	4
ACTR1B	0	2	0	0	0	6	2	0	0	2	0	0	0	2	0	0	6	0	0	2
ACTR2	34	40	40	53	28	38	62	58	44	38	55	55	16	41	34	60	33	40	43	48
ACTR3	26	13	4	18	28	14	37	16	18	20	31	37	22	23	35	23	27	19	10	17
ACTR3B	2	0	0	0	2	14	3	1	0	0	2	0	0	0	0	2	0	2	2	1
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	42	30	25	38	41	31	30	35	28	31	53	83	27	35	48	31	35	47	35	20
ACTR5	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACTR6	0	4	0	1	4	1	4	0	2	16	2	11	2	6	10	4	2	2	2	9
ACTR8	7	4	2	10	2	10	3	5	6	9	6	9	13	9	0	19	4	12	6	4
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	4	6	14	1	6	4	4	1	3	19	0	8	1	2	4	2	2	3	2	1
ACVR1	2	0	2	2	2	2	4	4	0	0	6	0	4	0	6	4	0	2	6	4
ACVR1B	8	0	2	4	0	0	6	0	2	4	2	6	7	10	4	6	2	2	2	10
ACVR1C	0	0	0	0	2	0	1	0	0	2	0	2	0	0	4	0	0	1	0	2
ACVR2A	27	8	3	7	16	16	7	7	9	21	25	8	13	14	9	14	8	30	5	18
ACVR2B	0	2	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACVR2B-AS1	2	0	0	0	0	0	1	0	0	2	0	2	6	1	1	0	2	0	0	0
ACVRL1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0
ACY1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP2	13	22	14	17	19	12	25	16	11	21	14	27	13	23	19	15	33	10	21	17
ADA	3	0	0	0	1	2	4	0	4	4	0	4	6	0	2	3	0	5	0	0
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0
ADAL	19	18	7	24	26	10	21	7	9	11	9	22	13	16	14	34	9	12	20	14
ADAM10	20	0	6	6	5	12	12	7	12	10	12	8	9	3	6	10	2	6	8	4
ADAM11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM15	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0
ADAM17	20	17	28	27	31	25	23	28	11	23	15	22	18	10	20	26	10	22	29	29
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ADAM1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ADAM22	1	0	0	9	4	6	2	6	0	3	2	2	7	0	3	1	0	1	8	4
ADAM23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM28	2	0	0	0	0	4	0	2	0	0	0	0	0	0	0	2	0	0	4	0
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ADAM9	26	10	6	20	14	24	4	9	11	8	28	21	9	16	6	28	17	12	3	0
ADAMDEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	19	2	6	13	2	9	2	6	5	1	26	4	4	0	2	26	4	0	8	10
ADAMTS10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	2	0	1	0	2	3	1	2	0	2	8	2	0	7	7	1	4	0	0	5
ADAMTS14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS16	1	1	1	2	7	5	12	0	4	2	0	0	5	0	4	0	3	3	2	4
ADAMTS17	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS18	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
